,Title,Company,Location,Salary,Summary
962,Education Counselor,Skyblue Art Pvt Ltd,"Ahmedabad, Gujarat",180000.0,Face to Face counsel the Students and Parents regarding our Offered courses. To take care of inquiries. To Prepare presentations for In house & outdoor Seminar.
963,Urgent Hiring For Data Entryoperator Delhincr,Zen International,"Faridabad, Haryana",240000.0,Urgent Required Data Entry n Computer Operator Back Office Interested Candidates can directly apply on s Company Call Hr Hr Saurav sir-852793I8O4 7838368I99…
964,[Government] ISTRAC Jul-2019,ISTRAC,India,544800.0,ISTRAC-Technician-Advertisement.pdf for more detailed information. The last date for submission of online applications is 19/08/2019 up to 12:00 Hours.
965,CA (Chartered Accountants) Urgent | EXCLUSIVE FIBERS LTD.,Exclusive Fibers Ltd,"Greater Kailash, Delhi, Delhi",0,Great working and learning atmosphere. Is one of the largest Carpet manufacturing Company. This ad is for Corporate Office Delhi. Have ability to lead teams.
966,SPA Executive,Radisson Blu Hotel,"Marathahalli, Bengaluru, Karnataka",570000.0,"Maintaining the SPA Services Maintaining SPA Roster Looking after guests Feedback of guests Job Type: Full-time Salary: ₹35,000.00 to ₹60,000.00 /month…"
967,Help desk Executive,JLL,"Chennai, Tamil Nadu",Nan,"At JLL, we make sure that you become the best version of yourself by helping you realise your full potential in an entrepreneurial and inclusive work…"
968,Network Administrator,uriah solutions pvt ltd,"HSR Layout, Bengaluru, Karnataka",400000.0,"Strong working knowledge of enterprise-class system-level security using TCP/IP, DNS, SMTP, IMAP, routing, switching, VPN, Sophos Firewall, IPS, IDS, Email…"
969,Principal / Sr Stat Prog,Syneos Health Clinical,India,Nan,"When serving as a subject matter expert for CDISC and other industry and regulatory requirements, actively participates in industry standards organizations and…"
970,Centralized Monitor,IQVIA,"Thane, Maharashtra",Nan,"Regardless of your role, you will have the opportunity to play an important part in helping our clients drive healthcare forward and ultimately improve outcomes…"
971,School Principal,Renukai Tutorials,"Manjlegaon, Maharashtra",450000.0,"Graduate/ Post Graduate with B. Ed. Should be able to handle Academic curriculum, co- curricular Activities, Job Type: Full-time Salary: ₹35,000.00 to ₹40…"
972,Store Assistant,Toshee Industries Pvt Ltd,"Jamnagar, Gujarat",192000.0,"3 To take followup action regarding Material,and Pending PO from Suppliers. Interested Candidate can send their Resume at below mentioned id."
973,Back Office / Inbond / Outbond / BPO,Orchid Technologies & Consulting Services,India,Nan,Maintains call center database by entering information. Obtains client information by out-bound telephone calls; Resolves problems by clarifying issues;
974,Executive - Data Entry,Xtend Technologies,Kerala,Nan,"Compile, verify and sort information to prepare source data for computer entry. Review data for errors and correct any incompatibilities and generate reports."
975,Special Niche Positions for Candidates with US Mortgage Unde...,XL Dynamics India,"Navi Mumbai, Maharashtra",Nan,"If you have a notice period with your current organization, we will even buy it out if you join us immediately. August 17, 2019 to August 31, 2019."
976,EA to CEO,RedAlkemi,India,Nan,Are you one of those perfect balancers between boss and. Phone/Skype followed by an In-person interview. Following information in your cover note:
977,Executive - Quality Control,International Flavors and Fragrances,Andhra Pradesh,Nan,To be successful in this role you must have 3-5 years’ experience in food / food related industry in the area of quality control & should have experience in…
978,MIS Executive,Educational Initiatives,"Ahmedabad, Gujarat",Nan,"Experience working in Tally ERP (Including cost-centers), experience of Zoho ERP will be an add-onShould have good knowledge of Accounting and basic…"
979,Accounts Executive,JadeBlue,"Ahmedabad, Gujarat",Nan,Location: Ahmedabad - Sarkhej. No of openings: 1 Experience: 1 (Certificate course of accounts) GST & TDS knowledge a…
980,VFX & Animation,Times & Trends Academy,"Pune, Maharashtra",Nan,"Extensive working experience in Softwares – Photshop, Aftereffects. Working knowledge of 3D, Maya Mocha, Premier pro, silhouette & Nuke."
981,Content Writer India,DNA Growth,Punjab,Nan,"This will entail writing articles on business and financial matters, proofreading business plans and industry reports for the sophistication of language,…"
982,Operations part time job/internship at Ahmedabad,JVATAN Solutions LLP,"Ahmedabad, Gujarat",66000.0,"Only those students or freshers can apply who: JVATAN Solution LLP is a milestone achiever, registered company by the Ministry of corporate affairs â India,…"
983,Support Executive,iiiEM Global Training Pvt.Ltd.,"Ahmedabad, Gujarat",Nan,"Understanding client needs and offering best solutions, support and guidance. We believe in enhancing the skills of youngsters by providing training so as to…"
984,Computer Operator,Super Knit Industries,"Daman, Daman and Diu",186000.0,"Super Knit Industries is one of the largest manufactures of socks in India, with a very wide range of machinery, which allows us to manufacture practically any…"
985,ONLINE BIDDER Web Amenity,WEBAMENITY,"Regent Estate, West Bengal",1450000.0,"Interested candidates please contact. We are hiring Urgently. Job Type: Full-time Salary: ₹1,400,000.00 to ₹1,500,000.00 /year Experience: * work: 1 year …"
986,ASM/SR,JAGS Food industries Pvt.Ltd,"New Delhi, Delhi",210000.0,We are looking for ASM/SR for our food industry for various locations. Candidate can done primary and secondary business very well.
987,Social Media Executive,BLU GRASS,"Pune, Maharashtra",300000.0,"Demonstrates winning Social Customer Service techniques.. Analyze, review, and report on effectiveness of campaigns in an effort to maximize results.."
988,BDM for Solar Company,Visa Powertech pvt ltd,"Navi Mumbai, Maharashtra",475000.0,"• Based on the needs, you should be able to make a layman understand the benefits of going solar, the value addition of it to their business and their payback…"
989,Dream To Join In Mnc For 3d Modeler - Airoli,Selectivite Consultants,"Mumbai, Maharashtra",Nan,We have openings for 3D Modeler Freshers Experiences in Airoli Shift 6 30 AM to 3 00 PM 3 10 PM to 11 40 PM Pick up Drop available Home Drop available for last…
990,Project Admin,Honeywell,"Pune, Maharashtra",Nan,You will assist other customer service associates with administrative duties. You will respond to inbound customer calls and email regarding order inquiry as to…
991,Showroom,Infinity Solutions,"Jamnagar, Gujarat",187500.0,"Qualification Higher Secondary, Secondary School, B.A, B.B.A, B.Com, M.B.A/PGDM, M.Com. Industry Front Office / Executive Assistant / Data Entry."
992,Opening for Financial Assistant,Anhox Healthcare,"Ahmedabad, Gujarat",Nan,Professional demeanor and excellent customer service skills. Provide stellar customer service to our clients and be informed on all company policy and practices…
993,Opening for Financial Assistant,Anhox Healthcare,"Ahmedabad, Gujarat",Nan,Professional demeanor and excellent customer service skills. … Provide stellar customer service to our clients and be informed on all company policy and practices…
994,Admin Assistant/Officer,SGPharma Private Limited,"Navi Mumbai, Maharashtra",Nan,We have following requirement in our company for Administration Department. … Job Time-Am to 6 Pm. … Fallow up for Services as per our Requirement or as per…
995,TIBCO BusinessWorks,Accenture,"Mumbai, Maharashtra",Nan,Join Accenture Technology and you’ll translate the operational needs of the world’s governments and leading businesses into the innovative technical solutions…
996,CA (Fresher)Job Opportunity at Bengaluru,White Code Legal & Tax Pvt Ltd,"Bengaluru, Karnataka",420000.0,"Responsible for execution of auditing-internal & external, business advisory. \*Only those candidates can apply who: … INR ₹ 18000 to 50000 /Month."
997,Aadhaar Operator,HDB Financial Services Ltd,"Hoshiarpur, Punjab",100000.0,"HDB Financial Services (HDBFS) is a leading Non-Banking Financial Company (NBFC) that caters to the growing needs of an Aspirational India, serving both Retail …"
998,Back Office Sales Executive,capital Vriddhi financial services,"Indore, Madhya Pradesh",360000.0,"Greetings from Capital Vraddhi Financial Services. … Freshers , Exp BA / SBA ( Only Graduate Candidates can apply )*. … Good Incentive Plans ( Monthly , Weekly )."
999,Activedirectory Administrator,Atos,"Mumbai, Maharashtra",Nan,"If you wish to apply for this position, please click below to complete our online application form and attach your CV in either Word, rtf or text format."
1000,"Technician I, CPI",CommScope,"Verna, Goa",Nan,"Coordinates Lean Manufacturing Activities within the Department including kaizen events, projects and any other activity to improve and further lean efforts and…"
1001,Executive Assistant to CEO,Hermosa Design Studio,"Kota, Rajasthan",660000.0,Assists the CEO with daily administrative duties and completes a broad variety of administrative tasks that include managing an active calendar of appointments;
1002,"Opening For Data Entry Operator, Back Office Executive ,comp...",Freelancer Kritika Ahuja,"Pune, Maharashtra",Nan,We Have The Following Job Opportunity -Data Entry Back Office Computer Operator Tech Support Accounts Voice Process inbound Process Direct Joining Walk In…
1003,Factory Supervisor,Paresh Industries,"Aurangabad, Maharashtra",96000.0,"Urgently Require Factory Supervisor for a Reputed Company. Helps manufacturing staff achieve company goals by communicating expectations, planning, monitoring,…"
1004,Join Event Industry,KV Organisers,"Delhi, Delhi",Nan,"Work in events industry and cover many events like pro kabaddi, sunburn, ipl, destination weddings and many more and get started with us."
1005,"Data entry jobs, computer operator",Apex online IT Trainings,"Hyderabad, Telangana",0,We are looking for any one ( intermediate/12th/polytechnic) who can work eagerly and dedicated on the given job. Able to work on computer quickly.
1006,Assistant,North Maharashtra University (NMU),"Jalgaon, Maharashtra",0,Assistant No. of post: 01 Qualification: Graduates in any discipline Salary per month: Rs.7000/- Age Limit: Between 25 - 40 yeas Experience:0-5 Years…
1007,"""Sr. Accounts Executive""",Divine Solitaires,"Mumbai, Maharashtra",480000.0,"Accounts Executive, TDS, Tally ERP, gst,. Familiar with TDS Return related software. Should be able to prepare data for necessary tax returns - Should be able…"
1008,Office Assistant,Aagaaz Music,"Zirakpur, Punjab",162000.0,Job Summary Required Office Assistant For Zirakpur Michigan Pizza. Good Communication Skills. Local Candidate Preferable. Good Salary Package. …
1009,EXECUTIVE - PURCHASE,ROCKWOOL Firesafe Insulation,India,Nan,An excellent opportunity to work with an International player that offers great growth prospects and excellent work-life balance.
1010,Network & System Admin,LetMeDoit Technologies,Kerala,Nan,"Excellent knowledge of best practices around management, control, and monitoring of server infrastructure. Specify system requirements and design solutions."
1011,Back office Executive,Asha Pvt. Ltd,India,156000.0,"Higher Secondary to any basic Graduate candidate can apply. Back office Executive Jobs In Rampurhat, Rampurhat. Incentive + PF facility +(As per designation)."
1012,"English Language Teacher, Leadership and English Advancement...",American Council,India,Nan,American Councils for International Education is seeking three qualified people for the position of English Language Teacher at the Leadership and English…
